Date,TSMOM,TSMOM^CM,TSMOM^EQ,TSMOM^FI,TSMOM^FX
05/31/2010,-5.15%,-9.57%,-15.50%,8.33%,-3.15%
06/30/2010,1.18%,-3.10%,-4.48%,9.26%,5.22%
07/30/2010,-0.88%,-3.52%,5.79%,-0.29%,-1.26%
08/31/2010,5.78%,2.10%,-3.71%,21.25%,3.50%
09/30/2010,1.17%,4.82%,3.28%,-4.75%,-1.31%
10/29/2010,2.10%,7.72%,2.67%,-3.89%,-3.06%
11/30/2010,-0.69%,-1.31%,0.71%,-6.31%,5.60%
12/31/2010,4.53%,8.76%,7.27%,-7.51%,7.04%
01/31/2011,-0.67%,3.69%,-0.66%,-4.80%,-4.93%
02/28/2011,4.16%,4.77%,6.46%,0.02%,5.71%
03/31/2011,-1.64%,0.81%,-5.63%,-2.01%,-3.12%
04/29/2011,5.14%,2.56%,6.09%,7.57%,6.93%
05/31/2011,-1.22%,-5.59%,-4.19%,10.61%,-3.08%
06/30/2011,-2.42%,-4.58%,-3.45%,-0.15%,0.20%
07/29/2011,1.88%,4.16%,-9.97%,4.72%,3.10%
08/31/2011,2.63%,2.41%,-12.05%,17.69%,-2.22%
09/30/2011,-9.46%,-19.62%,3.14%,4.74%,-13.97%
10/31/2011,-1.81%,0.28%,-7.35%,-3.83%,0.35%
11/30/2011,2.47%,3.82%,3.13%,4.81%,-3.27%
12/30/2011,1.32%,-1.40%,-0.31%,9.06%,-0.41%
01/31/2012,-0.62%,-0.88%,-4.32%,2.26%,-0.46%
02/29/2012,-2.15%,0.23%,-5.13%,-4.20%,-2.46%
03/30/2012,0.21%,2.98%,0.34%,-2.78%,-2.19%
04/30/2012,3.65%,0.76%,3.58%,10.84%,1.68%
05/31/2012,10.72%,6.09%,11.83%,17.02%,12.35%
06/29/2012,-6.36%,-4.32%,-9.97%,-7.65%,-6.33%
07/31/2012,1.81%,-2.29%,-2.44%,9.13%,5.29%
08/31/2012,-1.75%,-2.03%,-2.66%,-0.79%,-1.53%
09/28/2012,-3.76%,-6.21%,0.53%,-0.83%,-5.26%
10/31/2012,-1.14%,-1.70%,2.27%,-2.92%,-0.64%
11/30/2012,-0.26%,-3.90%,0.89%,4.80%,0.64%
12/31/2012,1.04%,-2.19%,6.87%,-1.93%,6.33%
01/31/2013,0.81%,2.97%,13.35%,-12.30%,1.29%
02/28/2013,1.87%,3.55%,0.69%,5.93%,-5.04%
03/29/2013,1.27%,0.25%,1.88%,4.49%,-0.63%
04/30/2013,6.08%,6.40%,10.39%,6.87%,1.34%
05/31/2013,-2.22%,2.96%,4.13%,-19.47%,1.31%
06/28/2013,0.53%,3.68%,-11.33%,10.22%,-7.36%
07/31/2013,3.40%,2.41%,13.39%,-2.01%,3.75%
08/30/2013,-0.78%,-2.82%,-2.76%,4.74%,-1.19%
09/30/2013,-1.45%,-2.13%,10.97%,-7.36%,-2.98%
10/31/2013,2.45%,-0.42%,13.42%,0.29%,2.33%
11/29/2013,3.64%,2.71%,2.68%,3.42%,6.46%
12/31/2013,1.94%,0.63%,3.97%,-0.45%,5.61%
01/31/2014,-4.82%,0.63%,-8.42%,-14.99%,-2.02%
02/28/2014,-0.87%,-6.43%,11.74%,-0.32%,0.19%
03/31/2014,1.16%,0.71%,1.73%,2.22%,0.52%
04/30/2014,-0.07%,-0.84%,2.46%,-1.43%,1.04%
05/30/2014,-0.27%,2.21%,4.58%,-4.38%,-4.41%
06/30/2014,2.44%,2.16%,0.59%,2.37%,4.44%
07/31/2014,-0.59%,-0.61%,-3.87%,1.62%,-0.47%
08/29/2014,3.39%,-0.25%,4.93%,15.72%,-3.85%
09/30/2014,3.94%,9.79%,-1.12%,-4.11%,4.77%
10/31/2014,0.84%,-3.99%,-2.63%,11.44%,1.62%
11/28/2014,8.48%,7.94%,2.54%,9.99%,12.38%
12/31/2014,4.58%,2.92%,-3.54%,9.36%,8.83%
01/30/2015,12.95%,4.13%,5.84%,23.56%,24.42%
02/27/2015,-2.41%,-8.87%,14.30%,-5.28%,1.12%
03/31/2015,5.86%,6.44%,2.55%,6.38%,6.61%
04/30/2015,-6.59%,-6.75%,0.02%,-8.17%,-9.48%
05/29/2015,1.40%,1.53%,3.03%,-1.70%,3.26%
06/30/2015,-5.78%,-3.83%,-9.84%,-8.32%,-3.87%
07/31/2015,8.74%,13.40%,8.24%,7.64%,0.99%
08/31/2015,-1.77%,1.26%,-18.19%,0.10%,2.48%
09/30/2015,3.06%,3.79%,-2.55%,7.03%,1.49%
10/30/2015,-0.66%,-0.84%,-1.57%,-0.12%,-0.20%
11/30/2015,4.29%,9.75%,2.41%,-1.40%,0.95%
12/31/2015,-0.36%,2.31%,-3.89%,-3.02%,-0.16%
01/29/2016,2.88%,0.12%,-7.45%,16.35%,1.56%
02/29/2016,1.70%,-0.43%,4.55%,6.08%,-0.93%
03/31/2016,-5.24%,-5.15%,-6.11%,-3.25%,-6.91%
04/29/2016,-4.81%,-10.16%,-2.37%,-2.16%,1.21%
05/31/2016,1.18%,1.17%,-2.43%,5.33%,-0.60%
06/30/2016,7.08%,-1.56%,6.87%,20.37%,10.13%
07/29/2016,-0.85%,-0.51%,-6.20%,1.28%,0.20%
08/31/2016,-1.70%,-2.03%,-1.40%,-3.32%,0.50%
09/30/2016,1.32%,0.96%,0.38%,1.48%,2.57%
10/31/2016,-3.47%,-0.12%,-3.03%,-14.22%,1.15%
11/30/2016,-4.94%,-3.88%,1.81%,-10.49%,-6.09%
12/30/2016,-4.03%,-6.88%,-6.74%,1.36%,-2.15%
01/31/2017,0.44%,1.30%,0.20%,-3.36%,3.02%
02/28/2017,3.96%,1.60%,8.16%,7.91%,1.22%
03/31/2017,-1.73%,-4.36%,10.96%,-3.23%,-4.34%
04/28/2017,-2.44%,-2.85%,4.10%,-4.90%,-3.87%
05/31/2017,0.56%,0.66%,4.84%,-2.25%,0.19%
06/30/2017,-1.08%,-0.87%,-5.02%,-0.90%,1.26%
07/31/2017,-0.14%,-5.06%,4.29%,1.60%,4.47%
08/31/2017,-0.35%,2.10%,-0.14%,-6.56%,1.33%
09/29/2017,2.15%,-0.19%,10.00%,8.54%,-5.98%
10/31/2017,2.42%,3.46%,11.28%,-1.86%,-1.64%
11/30/2017,-1.38%,-2.43%,-1.42%,-1.31%,0.65%
12/29/2017,4.29%,7.72%,2.62%,-0.60%,3.96%
01/31/2018,1.67%,-0.13%,11.51%,-4.46%,4.54%
02/28/2018,-5.46%,-4.53%,-14.75%,1.61%,-8.00%
03/30/2018,-1.34%,2.67%,-6.87%,-8.59%,2.65%
04/30/2018,0.95%,1.64%,0.88%,1.84%,-1.32%
05/31/2018,-2.11%,-0.67%,0.70%,2.28%,-11.84%
06/29/2018,-0.07%,-1.15%,-0.49%,0.75%,1.49%
07/31/2018,-0.28%,-0.65%,3.83%,0.52%,-3.48%
08/31/2018,2.74%,6.00%,-3.04%,-0.82%,4.43%
